timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.030462169390051103,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.030462169390051103,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,2.3829647417533902e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,2.3829647417533902e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,5.119468552149648e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,5.119468552149648e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,0.0015548491976697522,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,0.0015548491976697522,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.04105974048241136,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.04105974048241136,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.004527368277284617,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.004527368277284617,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.13413655589812393,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.13413655589812393,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,0.0015227106775594856,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,0.0015227106775594856,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.02210615050377352,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.02210615050377352,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,5.5495667867196025e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,5.5495667867196025e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,0.00011469520137773789,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,0.00011469520137773789,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.0011791179644233298,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.0011791179644233298,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.01674842052771792,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.01674842052771792,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.8137552333659086,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.8137552333659086,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.8305166497962388,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.8305166497962388,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.729311543251077e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.729311543251077e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,2.11536875034322e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,2.11536875034322e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,2.575435809486033e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,2.575435809486033e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,2.457392487293404e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,2.457392487293404e-5,expExc
